,SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
3540,50,8,31,Colorado,Denver County,11,6,85242,42883,42359,35778,35106,3410,2992,642,623,1648,2058,92,76,1313,1504,36908,36421,4030,3708,1128,1169,2097,2570,162,161,32722,32861,26759,26805,3095,2669,235,224,1572,1986,67,55,994,1122,27623,27789,3578,3232,539,548,1946,2410,122,117,10161,9498,9019,8301,315,323,407,399,76,72,25,21,319,382,9285,8632,452,476,589,621,151,160,40,44
3541,50,8,31,Colorado,Denver County,11,7,81849,42505,39344,36184,32872,2930,2689,596,533,1653,1918,93,74,1049,1258,37086,33971,3386,3211,1005,1025,2020,2385,156,148,33005,30824,27704,25385,2664,2381,201,182,1595,1855,55,63,786,958,28377,26224,3010,2793,452,490,1914,2253,106,119,9500,8520,8480,7487,266,308,395,351,58,63,38,11,263,300,8709,7747,376,418,553,535,106,132,50,29
3542,50,8,31,Colorado,Denver County,11,8,64579,33611,30968,28328,25279,2644,2557,503,539,1211,1573,81,54,844,966,29035,26101,2990,2962,864,945,1510,1921,135,115,24957,23051,20532,18337,2411,2278,156,173,1172,1509,65,33,621,721,21053,18952,2666,2587,372,421,1430,1811,106,81,8654,7917,7796,6942,233,279,347,366,39,64,16,21,223,245,7982,7149,324,375,492,524,80,110,29,34
3543,50,8,31,Colorado,Denver County,11,9,50158,26204,23954,21772,19311,2258,2076,496,474,986,1347,47,34,645,712,22326,19920,2514,2353,794,808,1199,1584,92,77,18441,16717,14808,12852,2073,1888,111,136,945,1302,30,25,474,514,15213,13287,2262,2095,295,337,1127,1503,68,55,7763,7237,6964,6459,185,188,385,338,41,45,17,9,171,198,7113,6633,252,258,499,471,72,81,24,22
3544,50,8,31,Colorado,Denver County,11,10,45199,23917,21282,19801,17280,2208,2111,418,422,936,948,38,41,516,480,20231,17682,2407,2286,671,669,1102,1099,66,75,17108,15014,13582,11622,2086,1928,114,153,902,922,26,28,398,361,13908,11916,2246,2065,285,316,1048,1056,49,56,6809,6268,6219,5658,122,183,304,269,34,26,12,13,118,119,6323,5766,161,221,386,353,54,43,17,19
3545,50,8,31,Colorado,Denver County,11,11,37596,19743,17853,16056,14404,2222,1910,377,368,768,766,20,24,300,381,16306,14737,2323,2030,565,606,851,873,38,42,14091,12497,10952,9617,2113,1795,98,108,719,721,15,15,194,241,11105,9818,2187,1878,201,238,783,807,27,28,5652,5356,5104,4787,109,115,279,260,49,45,5,9,106,140,5201,4919,136,152,364,368,68,66,11,14
3546,50,8,31,Colorado,Denver County,11,12,36298,18150,18148,14788,14638,2193,2169,296,361,548,596,17,30,308,354,15040,14925,2292,2288,498,594,627,686,32,52,13584,13513,10673,10497,2096,2047,67,117,525,575,14,29,209,248,10839,10694,2162,2143,196,266,589,648,27,42,4566,4635,4115,4141,97,122,229,244,23,21,3,1,99,106,4201,4231,130,145,302,328,38,38,5,10
3547,50,8,31,Colorado,Denver County,11,13,34157,16382,17775,13597,14383,1886,2207,239,286,415,604,14,28,231,267,13794,14602,1950,2290,406,470,467,662,26,46,12957,13998,10482,10977,1835,2138,79,96,403,579,11,24,147,184,10601,11119,1879,2201,175,215,444,627,19,38,3425,3777,3115,3406,51,69,160,190,12,25,3,4,84,83,3193,3483,71,89,231,255,23,35,7,8
3548,50,8,31,Colorado,Denver County,11,14,29714,13840,15874,11609,13136,1464,1605,168,221,410,675,18,12,171,225,11750,13320,1511,1670,300,382,445,728,29,27,11354,13029,9308,10525,1435,1563,73,94,404,659,16,11,118,177,9402,10664,1472,1622,161,217,429,701,23,24,2486,2845,2301,2611,29,42,95,127,6,16,2,1,53,48,2348,2656,39,48,139,165,16,27,6,3
3549,50,8,31,Colorado,Denver County,11,15,21410,9797,11613,8323,9765,955,1098,111,126,289,470,11,8,108,146,8410,9888,983,1135,194,236,310,494,13,17,8078,9556,6727,7876,937,1072,53,46,277,456,4,5,80,101,6787,7957,963,1106,111,118,295,475,6,11,1719,2057,1596,1889,18,26,58,80,12,14,7,3,28,45,1623,1931,20,29,83,118,15,19,7,6
3550,50,8,31,Colorado,Denver County,11,16,13440,5795,7645,4815,6315,627,868,73,89,225,275,1,1,54,97,4863,6401,638,898,113,154,234,302,5,8,4668,6155,3770,4925,603,851,35,43,219,265,1,1,40,70,3804,4985,614,873,62,92,227,286,5,6,1127,1490,1045,1390,24,17,38,46,6,10,0,0,14,27,1059,1416,24,25,51,62,7,16,0,2
3551,50,8,31,Colorado,Denver County,11,17,8975,3689,5286,3002,4300,456,663,16,38,189,230,3,4,23,51,3022,4346,461,669,32,70,196,246,4,7,2945,4243,2286,3312,449,648,9,21,182,221,3,3,16,38,2299,3345,453,653,19,43,189,235,4,6,744,1043,716,988,7,15,7,17,7,9,0,1,7,13,723,1001,8,16,13,27,7,11,0,1
3552,50,8,31,Colorado,Denver County,11,18,10677,3758,6919,3234,5934,355,712,7,18,154,217,1,2,7,36,3240,5964,357,727,12,39,155,225,1,4,3204,5938,2692,4977,347,700,7,18,151,208,0,1,7,34,2698,5005,349,714,12,38,152,216,0,3,554,981,542,957,8,12,0,0,3,9,1,1,0,2,542,959,8,13,0,1,3,9,1,1
3743,50,8,33,Colorado,Dolores County,11,0,2074,1090,984,1020,920,5,3,37,30,2,3,1,1,25,27,1045,946,8,14,54,44,7,6,1,1,1020,925,955,868,4,3,33,26,2,3,1,1,25,24,980,892,7,12,50,39,7,5,1,1,70,59,65,52,1,0,4,4,0,0,0,0,0,3,65,54,1,2,4,5,0,1,0,0
3744,50,8,33,Colorado,Dolores County,11,1,73,31,42,30,39,0,0,1,2,0,0,0,0,0,1,30,40,0,0,1,3,0,0,0,0,28,42,27,39,0,0,1,2,0,0,0,0,0,1,27,40,0,0,1,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
